Total Population,Median Age,White,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),Year,State FIPS,State Abbr,District
771459,36.3,230346,19161,2876,417639,3340,35191,392414,379045,184423,133341,174984,87138,87846,118786,178987,99081,79906,46621,79967,108551,159379,151924,631248,103111,51353,762298,7650,8100,109682,100009,968,1466,8896,7228,2018,06,CA,17
717732,44.2,573751,10394,15221,27801,1712,37218,355063,362669,52662,239577,43136,18615,24521,246086,45991,22490,23501,48676,93013,160444,128922,85801,599844,67820,33891,701529,26623,31404,250021,256412,1072,1080,3708,2682,2018,06,CA,2
712857,29.7,510546,27500,8029,22457,1523,19931,375165,337692,152641,161847,102891,25691,77200,136285,92210,26211,65999,167045,109743,100616,24576,9771,528385,136904,19867,673237,62657,76636,182842,167330,3208,3479,7192,6250,2018,06,CA,21
729285,34.6,290163,34539,8193,143286,1725,21944,371393,357892,203019,136235,158379,57911,100468,115690,168244,75193,93051,165727,102180,101845,95122,37597,603361,110149,21448,712104,32993,36511,111787,101023,6420,5180,10075,8810,2018,06,CA,34
764572,39.3,498259,37767,3465,99122,1169,33466,376001,388571,95379,181990,117621,72120,45501,185396,129201,85386,43815,61779,93495,153198,155235,83102,639995,91097,35769,756220,23105,26713,221123,223014,2923,3168,15982,14538,2018,06,CA,30
795401,35.0,506468,45765,4972,73122,3167,45022,395736,399665,65887,215025,69663,41255,28408,215565,78827,45724,33103,67831,126657,182877,84881,44253,618361,121591,31674,787823,19381,26115,230444,227160,2223,2541,20257,19407,2018,06,CA,42
727621,35.4,262562,164629,4614,94162,3535,34583,350728,376893,122620,157580,104553,46316,58237,177354,113896,55919,57977,106100,107714,140661,88037,39289,580683,100949,26670,719534,18934,21105,110744,107773,13155,20521,57843,71682,2018,06,CA,43
754861,36.6,319994,127058,5910,158012,4700,53412,365864,388997,101926,199661,94435,46163,48272,216840,102112,55680,46432,77181,76593,122987,142767,115016,635021,84376,36166,736199,14779,16590,140659,139800,12534,17347,45311,49934,2018,06,CA,13
759866,36.4,334370,21695,5352,215287,3848,41437,381227,378639,115786,162766,128429,72220,56209,159835,131141,78790,52351,94753,95259,135525,116412,65908,612086,93350,35347,750607,12385,13675,154302,149871,1254,1144,9429,9151,2018,06,CA,19
728000,40.1,460110,47098,6352,81206,3157,43075,355771,372229,72616,207233,70221,35368,34853,224816,73989,41116,32873,64212,104144,180292,107458,54602,602795,72524,33867,717343,18872,22061,201891,210855,4172,5278,17397,19207,2018,06,CA,5
818722,35.0,642967,66959,7287,29114,1122,28040,409836,408886,72365,269951,55386,20115,35271,273962,53263,21819,31444,68675,101470,136911,171916,106953,676364,71451,37484,805684,33794,38254,285021,275924,7405,8294,25723,23799,2018,08,CO,1
786912,35.4,638504,45798,5450,20076,2732,43095,401900,385012,24248,286616,20670,9943,10727,267393,26774,15041,11733,33392,114624,183010,113724,73774,632716,79481,31236,754980,27422,32829,279121,274934,3043,3462,18933,16554,2018,08,CO,5
784728,36.1,686834,13962,8349,25694,477,26521,392232,392496,52280,258633,40851,14950,25901,264145,40025,17422,22603,61691,133705,161586,114362,62855,633753,67033,34832,774049,28930,35712,307558,305464,1107,937,6020,5368,2018,08,CO,7
796438,37.6,721196,7609,4253,25805,750,23709,403020,393418,33715,294824,28194,11586,16608,290525,27662,13769,13893,19442,83068,140294,172355,121559,668432,64002,35636,774672,35050,36119,320450,311159,696,527,3528,2250,2018,08,CO,2
739107,40.1,655512,7194,17651,5954,821,17797,371364,367743,27862,267481,21055,7242,13813,268238,21142,8832,12310,49641,136371,168340,105036,53054,605525,66781,27935,722637,39307,47688,281908,272902,1012,989,2676,1533,2018,08,CO,3
799390,37.0,720475,11178,5755,16862,645,23621,403264,396126,39926,268238,30531,11127,19404,267443,28509,11297,17212,47259,125078,170944,121111,61612,629600,78008,34838,780114,26500,34651,324659,318949,947,1105,4214,2769,2018,08,CO,4
805844,36.3,590096,75238,5738,49190,1749,34545,399215,406629,68547,239853,53779,22454,31325,249650,56529,26776,29753,42618,109115,156466,145966,80615,634819,73635,37593,797681,16101,20876,272443,274542,4903,6099,32591,30726,2018,08,CO,6
713076,40.8,497434,108137,2110,37156,165,24135,343761,369315,48574,217729,49229,26238,22991,242390,53715,32849,20866,52291,135008,126216,105070,79168,591534,65627,36633,699518,16230,21980,219726,230273,8594,9885,40865,46085,2018,09,CT,1
715728,39.4,522893,100033,1202,31371,235,22672,344543,371185,44610,230042,41181,20219,20962,258413,44303,24151,20152,43889,151506,121175,95072,84592,600692,68204,35127,690218,18538,24258,225998,235877,8027,11366,36881,40776,2018,09,CT,3
711761,42.2,571553,51571,1777,26460,362,18916,347999,363762,49187,225615,45849,22321,23528,242050,46714,25892,20822,52996,141215,122869,105363,76692,588233,70573,36225,696770,20910,27083,252980,261024,4574,5262,18198,20334,2018,09,CT,5
705024,42.0,605585,28917,2692,23438,117,26208,352850,352174,21862,261058,21843,11895,9948,260597,25257,15485,9772,36979,141707,137195,97776,74750,595820,58563,35794,665492,17325,22375,267645,271377,2199,2660,9394,8666,2018,09,CT,2
735915,40.1,537415,89604,1917,40392,294,21499,357978,377937,86585,195248,74375,33416,40959,213658,79613,41713,37900,49671,101083,99681,135643,111101,595101,79699,40156,722903,14832,19775,243502,249995,5729,8426,34416,38837,2018,09,CT,4
0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,2018,09,CT,not
949495,40.2,654905,209892,3455,36723,477,26009,459570,489925,45905,316310,40105,18626,21479,348074,41580,21098,20482,67482,208557,176708,120794,86438,780799,93076,32357,923678,25354,32602,285850,296239,16254,21713,76618,85959,2018,10,DE,1
729038,33.8,330627,345260,2195,19753,681,19861,353656,375382,27967,243236,24466,11441,13025,268641,25266,12971,12295,68508,153113,150221,63119,30927,587666,101521,23808,697839,26174,30609,131390,128353,41123,55088,108265,125561,2018,12,FL,5
750906,37.0,319550,370739,1321,9938,275,13905,363461,387445,142288,135369,143926,77651,66275,146644,157839,94420,63419,110053,162331,136558,68462,34706,611070,122469,21547,737663,27927,34070,128418,122967,42294,54590,127383,139993,2018,12,FL,24
804662,47.0,676629,66711,1974,17169,563,17191,388233,416429,54221,260124,48070,22350,25720,287192,52660,27983,24677,59272,168257,175638,115315,76605,675943,80024,30065,794531,29653,38530,292825,307620,5646,8241,24202,27147,2018,12,FL,16
754649,55.3,661728,54753,2675,9575,169,16455,364394,390255,17537,282205,22334,13467,8867,304367,27101,19186,7915,66865,213620,190639,77768,44303,656659,76884,24435,736403,36687,45831,273331,295025,5475,6161,17359,19904,2018,12,FL,11
777638,38.1,578281,115866,2514,23298,606,24000,382047,395591,46715,246099,42668,20593,22075,263738,46249,25863,20386,64546,167767,164108,90191,43663,628539,97463,27712,765359,34357,40554,245026,250121,9687,12723,44196,46129,2018,12,FL,15
756127,41.3,558493,108235,2363,31626,705,24403,362755,393372,103491,162904,118365,75771,42594,173283,142993,93961,49032,41477,123805,160124,128160,83021,625985,99279,31850,752283,24001,31525,244811,255646,6802,9432,42652,48412,2018,12,FL,23
756549,51.5,654669,56342,2427,10170,427,14528,375717,380832,41792,269875,39962,18920,21042,277039,40813,22119,18694,74964,208565,169766,79011,45324,651050,88704,25349,739253,39187,43543,276299,284426,6074,6517,18770,19861,2018,12,FL,17
753500,47.5,625859,79139,2801,13490,210,14845,364773,388727,23265,269885,26631,15434,11197,290038,31643,21339,10304,54992,180627,190423,85819,47082,643062,91698,25903,741277,34271,42099,266105,275384,8451,10926,26638,29571,2018,12,FL,6
742230,48.1,619307,72452,2450,16408,550,21038,361509,380721,26177,264058,28157,16256,11901,279083,35837,23394,12443,48797,159809,183843,99038,61586,632043,80022,27061,733987,29416,37199,269768,276912,7894,8677,25336,28986,2018,12,FL,8
757719,46.4,668709,37197,2493,19963,510,18981,365117,392602,30455,255651,34210,20670,13540,281659,40304,25316,14988,53049,172343,180656,101696,52690,639417,84723,27715,747265,34472,43556,281877,299983,2447,2628,15286,15672,2018,12,FL,12
757228,47.4,607915,97915,2366,17057,531,15934,368822,388406,49243,242560,54280,30911,23369,261096,58899,36135,22764,58911,154721,175520,111399,64039,642248,82069,29735,749802,26729,33753,267352,275075,7879,9716,37015,41239,2018,12,FL,18
719213,41.8,585563,92588,3093,12373,822,18200,367972,351241,17658,277415,17482,8047,9435,263376,17472,10508,6964,65147,168334,155473,73035,46369,600775,101526,25840,672440,36147,43476,239081,239934,8747,10506,27786,28718,2018,12,FL,2
778060,36.0,298590,416212,1392,22121,300,21628,376196,401864,118806,162417,119382,65565,53817,172741,135288,81634,53654,92457,164769,150582,70479,37875,620331,109360,23383,762203,21402,25182,122409,122199,40871,51755,148168,167704,2018,12,FL,20
763720,41.9,685315,36042,1803,8437,97,9267,374278,389442,197599,105309,191980,98547,93433,105305,209646,125676,83970,119368,164224,131284,88142,45232,637766,107680,22103,754381,51860,66216,278836,282223,4052,4123,12166,12916,2018,12,FL,25
762765,45.8,585029,120670,1632,20271,368,15322,369399,393366,97399,203805,91060,45232,45828,221195,102769,59864,42905,67893,138605,159713,122595,74416,645277,80760,28587,757173,26919,36054,254640,263417,10043,10816,47573,50958,2018,12,FL,21
728979,37.3,552214,117229,1751,25080,365,24346,360333,368646,24228,258293,24781,12932,11849,268343,26795,16273,10522,54792,149893,148335,76610,54468,604840,105242,25488,693161,38136,45085,221390,224175,14145,17937,35883,39567,2018,12,FL,3
808969,35.1,456094,227480,2040,41904,906,25875,394720,414249,97494,210187,85173,43393,41780,223813,95290,50147,45143,68916,140445,164932,113611,53323,646476,99591,26256,799323,26899,33013,197062,193826,21281,26814,82590,93270,2018,12,FL,10
723658,46.7,571708,90403,2088,25673,785,22466,349730,373928,37000,249362,39264,22115,17149,268596,45019,27863,17156,52832,158752,175552,105964,57481,622735,70360,28168,711453,31195,37114,242523,251587,10634,13839,30307,33491,2018,12,FL,13
774375,38.5,630858,89443,1967,14064,285,13546,379748,394627,149560,128646,163477,93093,70384,123197,188054,122250,65804,92950,149612,146436,96730,43100,634015,126132,25040,761803,41019,49172,263312,269949,10786,13292,30455,30609,2018,12,FL,26
837026,37.5,622071,110828,2437,24447,416,30232,410325,426701,70083,247241,62616,31904,30712,258036,70351,38279,32072,78822,172876,179270,88524,44778,674313,115709,24612,826857,42133,50304,258636,263736,10305,13227,40876,43823,2018,12,FL,9
759701,38.4,583243,101668,3962,19810,1296,34631,382345,377356,17876,282541,16219,8798,7421,274184,23448,14365,9083,47820,139555,188519,94410,50652,623312,77909,28052,726663,27252,30372,253428,252133,9740,11404,34378,37248,2018,12,FL,1
757809,36.5,583054,82514,1475,34637,409,24836,370575,387234,44333,248614,45017,25375,19642,261303,52942,32437,20505,35728,112031,167285,132512,68959,635393,105130,30544,733417,31032,37297,244382,249417,8134,8868,31049,32146,2018,12,FL,7
763832,36.5,529639,139995,2748,34732,381,28605,372271,391561,77913,218708,69061,32326,36735,239244,72428,39200,33228,59751,136446,137722,116367,69835,627547,87351,28312,749818,32488,39495,224489,223207,17254,23241,46150,50989,2018,12,FL,14
780575,39.6,636335,72063,1899,35627,265,23832,383745,396830,32736,265315,34953,20911,14042,275651,40285,25264,15021,36547,128980,167448,140182,77844,644046,76878,35082,764173,23989,29330,281784,288589,4094,5280,29685,30091,2018,12,FL,4
750149,44.7,569112,112522,1696,24053,310,22135,373165,376984,92250,210280,91859,49988,41871,205447,102742,60472,42270,48067,137509,154173,135497,82069,636043,81441,32246,741411,23771,29903,259387,250239,7732,11909,45262,45374,2018,12,FL,22
797066,50.6,685044,63282,1387,12731,418,12626,388195,408871,75994,253845,64912,28514,36398,274957,67827,35158,32669,66476,171334,172885,121297,76891,685375,80963,28904,785723,35896,43774,293733,303021,6558,7457,23123,24174,2018,12,FL,19
751996,41.6,653462,38828,1169,14761,237,13652,368444,383552,183859,118715,180343,96334,84009,110942,207210,123729,83481,80489,133355,124998,125702,94584,640075,98334,26584,742883,38465,54917,276155,277143,3861,3440,15395,14659,2018,12,FL,27
728046,38.0,504469,176940,2377,14697,486,18665,353256,374790,20205,245423,17219,7713,9506,270173,18384,9377,9007,61996,147677,144797,81482,46062,584206,89519,28126,714482,22936,32019,222133,220772,16179,23435,62065,69051,2018,13,GA,3
748744,35.8,214388,449004,2087,38192,676,18541,353455,395289,65173,200389,55143,26856,28287,243439,57715,29419,28296,60545,126118,150752,93972,58159,589321,92644,28483,740956,12115,15336,91672,92706,34559,43720,168628,197430,2018,13,GA,4
759756,33.4,244388,444838,2180,31834,288,19374,363833,395923,38643,253687,31906,12823,19083,286190,30244,12968,17276,58234,117013,120343,119206,91235,625195,90126,29002,719044,11781,12243,106117,100230,47180,66131,144671,167550,2018,13,GA,5
735832,40.8,642151,49097,2306,9008,454,14495,361713,374119,41665,246484,28825,8759,20066,264231,27638,9080,18558,89451,158133,139460,70209,43954,597798,85022,25842,722635,35924,45735,276368,274652,5309,6502,16598,17758,2018,13,GA,9
675246,36.5,287040,349622,1481,8135,711,15521,330499,344747,14373,235816,12568,3938,8630,255237,10549,5432,5117,78987,148580,134742,47714,30739,540453,100743,21758,636916,17680,22200,114793,116720,48816,68079,102078,111055,2018,13,GA,2
744905,38.1,513884,100129,6759,86322,217,21398,369160,375745,92984,200676,75344,30591,44753,216156,70593,32657,37936,32302,65424,101363,191745,120776,594597,81433,44016,741601,15824,17459,239881,239198,4949,5516,42588,45772,2018,13,GA,6
731698,35.6,460511,217006,2732,13498,1037,22366,360103,371595,22424,253908,17513,6791,10722,268292,18271,8007,10264,58979,144922,155458,75659,47404,585210,84482,26996,704397,25403,33406,194507,192888,21286,30258,74680,80087,2018,13,GA,1
718746,35.5,421482,251632,1793,12655,651,15539,353670,365076,16998,252363,14148,6050,8098,265383,15701,8062,7639,75527,156218,136270,59203,39142,575827,103619,23335,682772,28437,34761,169478,171840,30003,40076,77469,87369,2018,13,GA,12
704814,36.9,446448,218319,1877,10266,184,14680,344867,359947,19787,242989,15661,4799,10862,263867,13891,6252,7639,72868,157353,135306,58002,41671,565275,104639,25241,680552,28620,38275,185308,183333,29937,39183,65191,71942,2018,13,GA,8
740458,36.6,506372,188872,925,15442,384,16259,361469,378989,21063,255613,18660,9244,9416,272018,20609,10829,9780,65393,156795,130500,72176,51457,598179,97516,25999,713523,27403,34197,213627,215542,20907,28330,61881,68706,2018,13,GA,10
749389,35.6,233635,444434,746,19867,91,19113,352622,396767,42158,211056,38670,18871,19799,258471,39569,20593,18976,54890,139463,148512,87305,51760,582930,89353,29892,741610,13795,18278,97822,100921,25103,37952,176615,200453,2018,13,GA,13
793740,35.9,444541,159394,2964,108584,232,22468,389162,404578,110426,184541,93994,41473,52521,201239,96335,46737,49598,56366,105345,136764,137325,72446,614611,105151,33668,787510,15846,20682,202225,202793,8003,10775,64108,74022,2018,13,GA,7
709918,37.9,603761,63544,2735,7694,173,14751,348407,361511,32759,234231,23708,7907,15801,252771,23274,7987,15287,91292,160244,136547,53118,30112,565394,85024,25888,695358,37314,45202,253184,257791,5690,7615,22828,23956,2018,13,GA,14
756192,36.4,556906,126469,2522,26307,511,19278,370013,386179,52824,235785,41330,15605,25725,256349,41950,19096,22854,47084,106847,141571,135831,72252,607403,83041,35300,743333,21292,25895,248797,253449,7373,8668,49728,56488,2018,13,GA,11
711322,38.5,228205,11356,2177,183370,87393,189764,357611,353711,43346,235030,39518,22451,17067,221242,52509,30567,21942,35861,148114,157377,94408,47802,573652,73475,32027,691735,12139,11756,100545,95212,631,597,4869,3605,2018,15,HI,2
710707,39.3,127407,14910,810,353472,55881,151992,356161,354546,65870,220146,61736,38041,23695,194223,91124,54856,36268,44835,125519,155665,117645,61141,589208,68190,36196,691891,4137,4897,63727,48231,820,573,7747,4642,2018,15,HI,1
818249,34.2,739631,6945,10126,12011,1267,21769,410443,407806,37415,271493,27521,9195,18326,272522,26552,10695,15857,49271,133948,182576,99224,49186,634019,71033,25723,805790,46248,54700,318939,308770,1000,1280,2555,1748,2018,16,ID,2
869560,38.0,787631,4591,12664,11747,1494,24823,435121,434439,23860,303591,18716,7772,10944,307630,20608,9844,10764,53420,167912,208870,99424,45435,689265,83357,26608,850831,43280,51037,339890,337086,739,464,1792,1285,2018,16,ID,1
708118,38.3,293374,360683,1369,13588,102,14249,331044,377074,25302,223657,25276,11883,13393,273057,24011,13530,10481,51003,129143,160224,80030,55442,575819,93759,28263,696801,10156,12923,130957,133279,37892,54732,120306,144512,2018,17,IL,1
724652,34.3,262626,341376,1228,54043,291,16666,347140,377512,58454,223932,48814,18681,30133,257178,48770,22485,26285,69182,109215,112314,111226,97843,601231,101140,30699,699327,11593,14287,114178,111982,44233,60754,102851,121920,2018,17,IL,7
735045,39.3,640824,23775,942,32311,187,16040,365921,369124,29186,235867,31730,18377,13353,243975,33413,20196,13217,30936,110509,145109,124757,72863,581394,71613,40379,729409,15070,18346,301301,301857,1499,1549,10162,9813,2018,17,IL,14
740075,35.1,599430,21468,1836,54227,184,24803,365783,374292,67114,221350,73142,41664,31478,227324,79817,48230,31587,43454,92874,107358,176409,115581,621100,65104,44690,729539,21031,25547,272009,273460,1635,1787,9161,7065,2018,17,IL,5
704851,36.4,570139,80703,1263,27933,297,19769,346803,358048,24541,256766,17659,5467,12192,272577,16687,6146,10541,36982,139199,141443,81595,56943,588050,78221,27285,664390,35661,43252,229783,232860,11849,15131,22371,23902,2018,17,IL,13
688356,40.1,562925,81226,1766,9438,161,19520,340179,348177,20619,244096,16451,6902,9549,257864,15024,6116,8908,56907,161592,161326,59429,30396,559600,65826,26309,664349,32144,42127,235126,236901,13079,16499,23158,22544,2018,17,IL,17
727847,40.9,601767,19551,1199,69822,128,17452,357594,370253,41377,219604,49665,30975,18690,232808,54384,35241,19143,26185,83020,129209,157317,103961,588615,70181,43445,718270,11975,15141,281109,285664,1202,1579,7767,8397,2018,17,IL,6
712819,38.3,521667,47534,1948,77288,458,18650,354264,358555,84449,185181,81314,42414,38900,188565,85498,46613,38885,50022,99053,110044,121675,90812,572297,76734,34882,693143,17193,21930,232846,235636,3666,6008,17079,17705,2018,17,IL,10
699621,32.8,406719,29049,3583,25629,243,19117,352656,346965,146153,145715,116294,41326,74968,150262,108862,43287,65575,123224,123171,96207,73422,35368,550216,100523,26301,695307,29992,36163,174446,163653,3850,4447,9973,10031,2018,17,IL,4
723507,40.5,520117,65627,1511,93736,355,22952,353262,370245,76084,191258,85423,51244,34179,203904,93964,59269,34695,43492,87084,108612,158061,118954,599731,78830,36528,704287,20668,24646,228630,233232,7669,8967,21824,23949,2018,17,IL,9
697270,39.4,545611,118002,1370,8494,128,16883,344620,352650,9399,257525,7531,3057,4474,268770,8449,4252,4197,50224,150025,169583,64854,44449,568636,79550,27173,674244,31209,39654,230512,229943,16633,22662,33236,37522,2018,17,IL,12
715095,37.0,473949,33258,3975,95826,878,20736,355534,359561,105705,171106,99034,46920,52114,179685,96498,50470,46028,68177,118329,135659,108904,54120,574296,76330,33047,709805,15284,19369,216538,218600,3115,4418,12124,12979,2018,17,IL,8
707835,40.4,642148,27345,1406,19461,208,13147,348261,359574,15236,255461,12001,4902,7099,269900,12192,5867,6325,30952,146414,151456,102091,57017,577030,64039,33391,685368,24720,31775,283347,287069,2674,2898,7763,7757,2018,17,IL,18
703782,38.2,257962,401384,1175,5330,59,12824,328614,375168,25531,218612,24556,11924,12632,267174,23336,12040,11296,56329,137320,165575,64953,39944,566618,99245,26543,693573,14457,17293,109018,111633,39169,53161,140002,165061,2018,17,IL,2
695502,40.5,626037,26911,1418,10733,232,14637,346043,349459,18948,249450,17712,8416,9296,255895,17464,8902,8562,45292,159994,162569,67062,39399,569694,64548,29800,674997,27931,38118,274167,272044,2978,3339,7584,7579,2018,17,IL,16
0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,2018,17,IL,not
717897,37.8,543349,34547,2324,31723,109,15514,355951,361946,69658,195793,72306,37467,34839,203890,72190,40545,31645,68635,145428,134378,84558,49000,573732,90965,31610,706702,21786,27531,243312,245081,2516,3395,11902,12642,2018,17,IL,3
722593,36.1,475032,81361,2220,56148,235,24915,354833,367760,74257,194599,66280,30796,35484,209429,66614,32823,33791,62780,108339,131684,102865,61845,569621,76891,33013,714388,14402,19677,216900,218601,5926,8477,31727,33769,2018,17,IL,11
696632,40.8,645509,30325,1331,5092,327,10539,347413,349219,6368,261708,5852,2273,3579,267649,5137,2901,2236,50811,166826,169680,62625,32021,567558,69667,28100,669384,36012,45355,272673,274338,4027,4468,6140,6429,2018,17,IL,15
747995,37.8,683396,21889,1725,17974,90,15856,368448,379547,17728,271696,13123,4912,8211,285766,13571,5549,8022,51633,167238,145907,80624,50961,612772,71490,28355,721677,35661,45026,290062,290834,2404,3200,8094,6895,2018,18,IN,9
719671,39.6,659764,30712,965,7486,575,14263,358735,360936,9662,268229,7399,2983,4416,275386,7220,3105,4115,54467,179474,152228,65800,36354,586308,67842,26972,689883,36007,47738,278243,274428,3725,4917,9164,8078,2018,18,IN,8
715348,39.0,498524,133966,1806,9419,287,22227,351138,364210,17383,245897,20296,11670,8626,263088,19644,11744,7900,52146,170843,149604,73560,38644,579381,87130,29217,697465,20400,27931,219425,219383,16386,22866,42100,47658,2018,18,IN,1
767053,38.2,646369,63300,1115,27096,226,21126,373161,393892,22778,258725,19609,10124,9485,281752,20701,10464,10237,33650,117371,132010,147823,87653,613441,65915,35983,750627,22688,29421,285833,295579,4587,5545,23607,26896,2018,18,IN,5
755358,33.5,451041,226137,2212,23656,451,23979,365010,390348,53974,230494,34779,9478,25301,263856,31106,9286,21820,81886,152715,136959,76072,37976,589730,80283,25804,738010,31896,39809,183507,184612,26968,35748,74538,84238,2018,18,IN,7
722805,37.7,624080,49860,2640,9397,455,19679,356433,366372,24913,245824,19512,7133,12379,261011,17602,7100,10502,68126,169159,133751,65141,38588,575141,70550,27024,700449,31358,41113,266902,267086,6645,9198,16070,15120,2018,18,IN,2
718706,40.1,668730,19780,1344,10831,334,11304,355340,363366,13515,264408,9170,2598,6572,276795,8396,2934,5462,53467,190800,138514,64555,38142,588679,68404,27632,696147,37373,50674,282598,279248,2419,2541,7002,5601,2018,18,IN,6
739773,36.9,649139,44350,1315,16055,204,19534,365396,374377,18073,252415,14999,6461,8538,266900,14926,7011,7915,59253,163429,148581,73095,37764,581668,62702,28843,724146,27828,36934,286412,284694,6615,8097,13704,14438,2018,18,IN,3
750717,36.7,667234,29478,1803,23077,196,14327,377407,373310,29216,266901,21939,5982,15957,271855,18143,6686,11457,47996,164902,143798,80438,46718,608747,69753,28768,717338,32633,38676,285487,285432,3723,3817,9773,9233,2018,18,IN,4
772171,38.8,701470,30479,3127,12891,1264,14741,382741,389430,18149,278692,13739,5038,8701,290398,12546,5300,7246,38749,169587,169212,94344,43389,625543,48776,30785,745039,28120,38226,307782,304208,4738,5020,9420,9158,2018,19,IA,1
780050,38.0,698831,32324,1862,18830,447,18151,387158,392892,25027,278452,18259,6193,12066,288310,17508,7200,10308,41165,166178,164449,91486,54721,632179,65485,29514,754123,35394,42743,299085,299811,5339,6076,9966,8713,2018,19,IA,2
757452,38.9,699432,12444,4220,16566,695,12905,378855,378597,24625,272837,18928,6251,12677,279009,15920,5512,10408,42589,162417,171877,84463,37821,615925,47518,28952,725598,31951,41511,302100,295642,1809,1870,4165,2881,2018,19,IA,4
822826,36.9,728156,34664,2340,26796,723,19973,405727,417099,32595,275554,25326,10115,15211,292165,24824,11640,13184,44206,149955,173972,125527,55266,651238,53562,34251,805812,27091,35814,324300,326686,4097,5107,12946,10949,2018,19,IA,3
714992,37.5,622032,33297,9998,11985,341,28537,355898,359094,14208,261065,10912,3906,7006,267939,11085,4919,6166,36619,143620,152030,82552,53114,578908,57498,27556,685569,35300,41372,260512,263448,3782,3749,11805,10144,2018,20,KS,2
708511,35.4,626842,22067,4281,11633,807,20940,359897,348614,37159,245214,27281,9215,18066,240547,24578,8466,16112,53282,128568,156809,73584,37739,565387,56821,26987,677100,34212,42194,266912,258530,1645,1729,8923,6123,2018,20,KS,1
723182,36.5,596620,49903,7493,23986,382,27049,359271,363911,26823,240974,23209,10792,12417,250806,22725,10682,12043,47531,128000,158244,89442,48127,568702,67704,29327,707855,29915,37809,258813,258438,6849,7577,16454,16843,2018,20,KS,4
762091,36.6,615125,64534,2278,35927,613,24518,374347,387744,48515,237743,36959,13264,23695,257741,34453,14293,20160,38287,92631,135978,148884,89634,599384,60235,37228,754509,17102,22375,282023,287801,5774,8000,24354,25332,2018,20,KS,3
753608,38.3,671934,40066,2254,10957,1090,19775,372539,381069,15855,271127,11126,4022,7104,284388,11486,5261,6225,67012,179118,153955,59469,42006,608942,70703,25925,729632,41647,54927,278773,277125,3830,4492,15532,13444,2018,21,KY,2
765842,36.8,648814,65304,1783,15043,263,21207,374967,390875,30029,267683,20482,5522,14960,290863,17171,5730,11441,62581,142734,142146,92846,65381,624190,68636,26773,739172,43623,56603,262719,265636,8438,9892,21068,21537,2018,21,KY,6
720226,39.9,642776,49954,1730,4410,633,15231,356813,363413,8058,265755,6587,2308,4279,277445,5873,2599,3274,76411,186136,143438,46821,34164,583451,77671,23385,693188,47007,61719,257591,254965,6858,8488,15652,15138,2018,21,KY,1
745082,37.9,531817,163397,1425,20663,376,20044,359644,385438,31291,249479,25168,10894,14274,280209,23749,11095,12654,52455,139835,157280,95595,67877,606253,59842,29601,728553,24074,30919,230241,235104,20125,26064,54019,59434,2018,21,KY,3
702070,40.8,677575,10116,1689,2895,200,7784,347874,354196,3958,264801,3438,1201,2237,276693,2449,1039,1410,115941,183731,122943,33536,29692,574388,102173,18798,676370,83794,99741,237833,235989,1383,1015,1959,1666,2018,21,KY,5
753376,38.9,693760,25275,1007,8834,252,15785,374878,378498,13486,271141,10711,3843,6868,280313,10048,4787,5261,55173,160237,153275,87670,54546,603807,70977,30456,735400,33999,45077,300406,299507,3465,3128,8884,7303,2018,21,KY,4
753519,36.7,456977,257141,5952,7330,677,16816,371857,381662,10521,270079,8529,3310,5219,283208,8844,4341,4503,74573,181373,144880,63967,34157,600827,98623,22800,729834,28937,37227,191258,187702,38777,50192,76834,81979,2018,22,LA,4
789120,36.1,248491,488748,1873,19512,125,13851,378585,410535,27554,264565,23080,8779,14301,301493,19951,9344,10607,93749,167360,147975,78049,46062,639023,106089,23186,769406,13708,16511,108095,104256,62815,85264,154667,172958,2018,22,LA,2
789153,35.6,555737,187426,3331,16645,186,15745,383530,405623,20456,272048,16649,6496,10153,298457,14318,6592,7726,59918,162825,142645,97735,52611,632307,84656,31400,777248,24693,33436,245559,244466,14529,21152,70492,77673,2018,22,LA,6
801089,38.3,627739,112314,9672,19039,264,18424,390431,410658,32111,268454,26493,11390,15103,296451,24641,11736,12905,67872,162527,150445,108550,58426,646536,88563,30130,785868,27744,37694,275044,277397,14189,20551,35922,37448,2018,22,LA,1
783013,36.0,551764,192726,2707,11995,27,16773,382821,400192,15482,271411,12316,4358,7958,293954,10510,4356,6154,83766,190543,133197,76841,33476,620305,90313,25844,769162,28584,41220,238612,234918,26168,33883,62731,65281,2018,22,LA,3
