Total Population,Median Age,White,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Median income,Total poverty,Income below poverty (White male),Income below poverty (White female),Income above poverty (White male),Income above poverty (White female),Income below poverty (Black male),Income below poverty (Black female),Income above poverty (Black male),Income above poverty (Black female),Year,State FIPS,State Abbr,District
728585,37.2,358565,47108,3561,214038,7488,43117,359141,369444,105290,160460,106545,59186,47359,166348,115264,66091,49173,56722,100407,136625,125413,70416,578505,94216,37694,719189,12724,15728,164099,162026,3634,5133,17052,18872,2014,06,CA,15
724501,39.7,489656,14120,2655,146182,1626,33914,363346,361155,97677,187484,90427,45298,45129,184592,97762,54797,42965,34165,60009,115398,149568,145922,586775,83267,47758,712064,15243,17293,228789,221098,960,875,6419,4963,2014,06,CA,18
719355,33.7,551704,15261,5998,38705,2835,27417,363918,355437,132864,179389,91792,26436,65356,180120,87368,29797,57571,112104,88085,129812,73004,45293,568318,100852,24289,690288,40111,48257,225364,218508,1103,1318,5195,4267,2014,06,CA,20
717203,33.5,539232,46062,8701,35182,977,29281,363442,353761,56303,213255,48379,20286,28093,212615,45632,21505,24127,81313,118031,161929,55777,29326,553865,111919,25469,696551,43914,51991,216255,214222,6596,7401,15058,13523,2014,06,CA,23
712071,35.1,458701,56574,3938,55767,1491,37078,354399,357672,65656,186983,66133,35981,30152,188406,73313,42700,30613,68555,98371,156997,80232,38454,551921,114582,31008,699325,22753,28166,203171,199217,6472,8614,18589,20361,2014,06,CA,25
735866,34.3,505358,40404,5580,64804,3226,37097,366899,368967,65289,195247,66462,37252,29210,197275,71216,39666,31550,66636,112731,168894,73466,36792,567597,118019,29918,727470,24166,26995,225710,223736,1710,2193,17702,17340,2014,06,CA,42
715526,30.5,327696,116661,5362,41429,4404,28975,351492,364034,150587,128930,116155,44424,71731,142254,119058,49965,69093,156604,104970,109168,35852,12270,544292,125389,19467,707297,35511,42199,127816,118101,12099,16250,39774,46541,2014,06,CA,44
716563,36.2,396815,51733,5611,155241,5949,37931,352898,363665,100695,169283,98679,52771,45908,174137,106463,59369,47094,89097,93639,150271,93243,46884,580034,102135,26777,708788,30339,32751,165524,163600,5896,6648,18910,19417,2014,06,CA,47
720932,36.6,578604,17326,8182,37370,2676,34886,354986,365946,81204,204272,59610,24681,34929,208824,69684,30486,39198,75015,107612,169593,80973,38681,574511,109379,27869,714267,37756,42187,246563,247396,1597,1599,7666,6041,2014,06,CA,50
722414,36.1,502796,21593,3563,139783,2900,34925,364208,358206,68367,221806,70752,40647,30105,205051,81529,49726,31803,24098,61098,134677,157314,117924,603393,84032,39929,700294,20434,22368,223814,219849,1339,1715,8895,7449,2014,06,CA,52
754428,34.6,579213,64646,7593,25382,640,25617,376773,377655,73004,242398,52087,17567,34520,250084,49439,18306,31133,68841,96959,130733,140183,87879,616381,66628,31263,741412,38391,39993,246918,244505,9111,10705,22330,20514,2014,08,CO,1
721514,39.3,634524,7163,14866,5030,554,20418,363503,358011,30501,258982,19896,5808,14088,257175,21212,7327,13885,52708,131744,161829,95899,49186,584883,62972,25446,703601,40708,47075,270858,262171,960,763,2113,1672,2014,08,CO,3
749853,35.5,566664,67781,5020,39650,1318,31998,369446,380407,67012,216658,49825,19337,30488,229714,51617,22728,28889,41301,98241,150841,129170,67165,580480,73636,33938,743294,20031,25492,256289,260156,7420,7626,26707,25365,2014,08,CO,6
743871,37.2,673007,6599,3419,21471,756,20293,374749,369122,30725,272237,24635,9894,14741,270271,24384,11178,13206,21116,76912,138285,151631,104703,617700,57684,31837,724850,36069,38159,295098,287731,566,750,2903,1699,2014,08,CO,2
740752,36.6,657032,9905,6020,13081,590,20635,373675,367077,38992,244940,28998,9984,19014,245641,25688,9999,15689,51815,116889,156151,104271,50186,577564,72784,30269,721400,31742,37280,288436,285545,1081,837,2812,2268,2014,08,CO,4
742085,35.3,608594,41929,5193,18040,2001,37868,377154,364931,25127,263791,20216,8817,11399,250290,25865,14042,11823,34981,109364,175318,98828,62880,590865,76203,28349,710882,29319,34742,261064,260934,3769,3861,15709,14121,2014,08,CO,5
745077,35.9,645877,11039,7806,23907,782,23377,372970,372107,49451,245357,35720,12066,23654,249849,35914,14682,21232,61484,129226,154981,99693,52010,594916,67585,31205,734090,32702,39867,284744,279460,1061,798,4775,3833,2014,08,CO,7
714049,41.2,624366,27587,2260,22192,262,22426,357651,356398,22927,258616,22828,11247,11581,260137,24160,14475,9685,41340,147917,136518,89336,71659,594590,60179,32855,672925,18412,23807,275602,279526,1900,1902,9328,8136,2014,09,CT,2
728317,39.3,537021,88510,1418,36650,165,16362,354733,373584,85792,193050,68970,27694,41276,214637,71359,34404,36955,52032,102285,99516,129936,103782,579891,79088,36430,714843,14705,19320,244312,249591,7479,10745,32240,35809,2014,09,CT,4
716939,40.5,512344,107114,1659,34048,303,23313,346163,370776,51141,217088,48370,25050,23320,241720,52838,30022,22816,56924,137302,128980,99117,74641,588695,64079,32995,701479,17503,21988,224886,236614,10436,12006,39018,43573,2014,09,CT,1
716410,39.5,540319,95623,1660,29061,144,16985,343210,373200,44800,227898,39565,18127,21438,258930,40934,21177,19757,49339,149064,122525,91597,79074,595415,68716,31608,691453,18668,24769,233699,244777,8746,12007,33950,38086,2014,09,CT,3
716338,41.0,575055,47037,1039,23891,231,19711,348864,367474,50293,224079,43446,19612,23834,242584,45759,23686,22073,57376,141319,124589,96676,72733,586967,69999,32175,700415,21790,27421,252621,262836,4639,5063,16752,17659,2014,09,CT,5
917060,39.1,639354,198028,3134,31745,494,23936,443923,473137,41352,304385,35529,15865,19664,336218,36412,17868,18544,74267,195806,168049,108647,74117,747226,90253,30062,891493,24518,33555,279493,286866,15211,21310,72338,80176,2014,10,DE,1
702714,34.2,275511,368170,1758,16379,660,19765,337924,364790,47795,208917,38891,17333,21558,234871,42965,20954,22011,84701,154338,137923,49782,21825,554617,100038,19827,685774,24888,29536,108008,105467,50548,66562,114292,128449,2014,12,FL,5
704638,46.8,589975,70183,1884,14106,504,18212,343564,361074,26412,247529,27399,15508,11891,261372,34323,21897,12426,53122,153101,173285,85536,51555,596126,81658,25039,695787,31500,40567,253467,257881,9436,10429,23205,25490,2014,12,FL,8
720838,38.4,559415,96120,4501,18329,1604,29499,362116,358722,17408,266761,15717,8131,7586,259756,21816,13122,8694,53377,137660,171228,79965,43639,590664,81273,25380,687234,31545,35285,236654,235623,12019,13702,28768,32602,2014,12,FL,1
705039,36.3,490089,173210,3352,13546,250,17669,356925,348114,18594,267897,16570,7157,9413,261635,17155,9261,7894,65556,134368,137824,74393,48530,586844,107145,23753,656316,34822,39505,194727,195476,22894,26528,49449,55941,2014,12,FL,2
704221,38.3,557228,95275,2119,21012,419,19229,353941,350280,24706,256611,22676,10562,12114,254654,25176,14426,10750,61614,143838,147623,66487,45701,584571,108909,23247,664777,40467,47802,221797,223228,12190,15580,27319,27824,2014,12,FL,3
711805,37.5,549777,98158,2243,31955,644,21180,348561,363244,32520,239540,29682,15532,14150,250653,35873,20303,15570,45513,136050,160913,98344,46630,581597,82983,30019,695854,27066,32916,236233,242880,7715,10236,36821,38792,2014,12,FL,4
716304,46.1,604703,67103,1915,13749,496,14492,348491,367813,22452,255853,23942,13327,10615,271914,28395,17785,10610,56758,155631,166448,91048,50052,605966,89191,24455,702508,35660,42934,253356,263674,10502,12188,19843,20825,2014,12,FL,6
712793,37.7,578734,65144,1740,25745,567,20467,348138,364655,35070,233890,35778,20526,15252,248379,42017,25432,16585,40161,122002,154094,104260,55563,588234,98157,26558,691566,31947,33977,243100,252944,7536,7395,22532,24630,2014,12,FL,7
745639,34.7,557259,83404,2191,32157,946,24140,366210,379429,75992,205134,67069,33659,33410,213050,76647,41053,35594,72103,144733,151439,79116,33919,595098,102727,22140,738338,41689,51485,230556,228715,8385,9700,30485,32868,2014,12,FL,9
709489,51.9,616480,60144,2484,8881,238,13154,345249,364240,16986,263514,19681,11377,8304,281791,24292,16857,7435,73167,198120,173382,63742,35731,611720,84058,21587,686108,40305,47652,249485,264487,7725,9389,17789,18055,2014,12,FL,11
709722,44.5,630191,33007,1853,18825,496,17093,343495,366227,28129,238400,29802,17612,12190,257731,36918,23515,13403,52112,157307,163694,92901,46633,589657,82804,26288,700348,32981,40401,267615,281208,3286,3223,12487,12870,2014,12,FL,12
725056,35.7,457027,191798,5060,21124,637,20102,354126,370930,68958,214617,55964,24269,31695,230835,60937,30081,30856,75644,145529,139383,83209,44199,589713,89023,23963,713123,37447,42182,184686,184524,26261,33510,61568,67484,2014,12,FL,14
717249,50.4,629963,47604,2012,11463,296,11957,344275,372974,45057,240336,39733,18543,21190,268974,42654,22128,20526,53003,167434,162981,96325,65113,614400,69204,26367,707582,30100,38453,268390,285204,6843,8498,14725,16175,2014,12,FL,16
711159,46.7,601081,64570,2452,10102,256,12498,356140,355019,47623,243893,39749,15104,24645,250007,37648,18315,19333,89297,181958,152711,61916,33660,595235,91835,22091,690875,42960,50824,246644,248187,7280,7518,20324,22474,2014,12,FL,17
723552,48.7,621652,57108,2440,10239,93,10885,352390,371162,69075,232583,53243,20177,33066,250790,56459,26232,30227,64187,159274,157912,99643,61911,615292,80732,26150,712086,34727,41196,263923,273183,7886,9327,18139,19641,2014,12,FL,19
